hour,gen_full,cf,r_id,existing_cap_mw,gen,curt
2496,wec_sdge_onshore_wind_turbine_1.0,0.3004,31,217.6,65.36704,0.0
2496,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2496,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2497,wec_sdge_onshore_wind_turbine_1.0,0.1961,31,217.6,42.67136,0.0
2497,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2497,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2498,wec_sdge_onshore_wind_turbine_1.0,0.2516,31,217.6,54.74816,0.0
2498,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2498,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2499,wec_sdge_onshore_wind_turbine_1.0,0.2703,31,217.6,58.81728,0.0
2499,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2499,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2500,wec_sdge_onshore_wind_turbine_1.0,0.2571,31,217.6,55.944959999999995,0.0
2500,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2500,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2501,wec_sdge_onshore_wind_turbine_1.0,0.2582,31,217.6,56.18431999999999,0.0
2501,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2501,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2502,wec_sdge_onshore_wind_turbine_1.0,0.312,31,217.6,67.8912,0.0
2502,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2502,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2503,wec_sdge_onshore_wind_turbine_1.0,0.2358,31,217.6,51.31008,0.0
2503,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2503,wec_sdge_solar_photovoltaic_1.0,0.2249,33,3500.0,787.15,0.0
2504,wec_sdge_onshore_wind_turbine_1.0,0.0325,31,217.6,7.072,0.0
2504,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2504,wec_sdge_solar_photovoltaic_1.0,0.4394,33,3500.0,1537.9,0.0
2505,wec_sdge_onshore_wind_turbine_1.0,0.0,31,217.6,0.0,0.0
2505,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2505,wec_sdge_solar_photovoltaic_1.0,0.5948,33,3500.0,1988.1598,93.64020000000028
2506,wec_sdge_onshore_wind_turbine_1.0,0.0004,31,217.6,0.0,0.08704
2506,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2506,wec_sdge_solar_photovoltaic_1.0,0.6805,33,3500.0,2186.1598,195.5902000000001
2507,wec_sdge_onshore_wind_turbine_1.0,0.0005,31,217.6,0.0,0.1088
2507,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2507,wec_sdge_solar_photovoltaic_1.0,0.7369,33,3500.0,2280.1598,298.9902000000002
2508,wec_sdge_onshore_wind_turbine_1.0,0.0014,31,217.6,0.0,0.30463999999999997
2508,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2508,wec_sdge_solar_photovoltaic_1.0,0.7455,33,3500.0,2106.1598,503.0902000000001
2509,wec_sdge_onshore_wind_turbine_1.0,0.0111,31,217.6,0.0,2.41536
2509,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2509,wec_sdge_solar_photovoltaic_1.0,0.754,33,3500.0,1857.1598,781.8402000000001
2510,wec_sdge_onshore_wind_turbine_1.0,0.0763,31,217.6,0.0,16.602880000000003
2510,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2510,wec_sdge_solar_photovoltaic_1.0,0.7723,33,3500.0,1791.1598,911.8901999999998
2511,wec_sdge_onshore_wind_turbine_1.0,0.0787,31,217.6,0.0,17.125120000000003
2511,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2511,wec_sdge_solar_photovoltaic_1.0,0.729,33,3500.0,1733.1598,818.3402000000001
2512,wec_sdge_onshore_wind_turbine_1.0,0.0168,31,217.6,0.0,3.65568
2512,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2512,wec_sdge_solar_photovoltaic_1.0,0.6607,33,3500.0,1679.1598,633.2901999999999
2513,wec_sdge_onshore_wind_turbine_1.0,0.036,31,217.6,0.0,7.833599999999999
2513,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,0.0,3.184932
2513,wec_sdge_solar_photovoltaic_1.0,0.5409,33,3500.0,1679.1598,213.9902000000002
2514,wec_sdge_onshore_wind_turbine_1.0,0.0715,31,217.6,15.558399999999999,0.0
2514,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2514,wec_sdge_solar_photovoltaic_1.0,0.3432,33,3500.0,1201.2,0.0
2515,wec_sdge_onshore_wind_turbine_1.0,0.0747,31,217.6,16.25472,0.0
2515,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2515,wec_sdge_solar_photovoltaic_1.0,0.1121,33,3500.0,392.35,0.0
2516,wec_sdge_onshore_wind_turbine_1.0,0.0603,31,217.6,13.121279999999999,0.0
2516,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2516,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2517,wec_sdge_onshore_wind_turbine_1.0,0.052,31,217.6,11.315199999999999,0.0
2517,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2517,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2518,wec_sdge_onshore_wind_turbine_1.0,0.0495,31,217.6,10.7712,0.0
2518,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2518,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2519,wec_sdge_onshore_wind_turbine_1.0,0.0512,31,217.6,11.14112,0.0
2519,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2519,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2520,wec_sdge_onshore_wind_turbine_1.0,0.0439,31,217.6,9.55264,0.0
2520,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2520,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
